epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2434.79,1.4992,0.55887,0.0047,0.95919,0.93585,0.97184,0.5988,1.48648,0.46225,0.0045,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,2507.1,1.48639,0.53192,0.0047,0.94321,0.94316,0.97295,0.63212,1.3794,0.42008,0.00398,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,2579.49,1.48968,0.53726,0.00467,0.93029,0.91335,0.96825,0.63137,1.3557,0.45415,0.0039,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,2653.08,1.4705,0.51824,0.00464,0.93856,0.93909,0.96888,0.62981,1.3699,0.44373,0.00392,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,2725.24,1.46126,0.51527,0.00468,0.95718,0.94379,0.97647,0.63779,1.37913,0.40888,0.00398,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,2798.04,1.45974,0.52634,0.00463,0.95518,0.94832,0.97988,0.6363,1.3536,0.41049,0.00393,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,2870.66,1.46246,0.54009,0.00458,0.94267,0.93618,0.97406,0.63986,1.34137,0.43652,0.00388,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,2944.23,1.45865,0.5311,0.0046,0.94972,0.9397,0.97511,0.64545,1.32303,0.43487,0.00373,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,3017,1.44702,0.51721,0.00454,0.9553,0.93841,0.97667,0.64454,1.33825,0.41727,0.00377,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,3089.72,1.45968,0.49797,0.00452,0.95632,0.93582,0.97559,0.64381,1.34913,0.40028,0.00392,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,3162.84,1.44519,0.51406,0.00453,0.94149,0.9515,0.97647,0.64402,1.32409,0.42964,0.00376,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,3234.96,1.43413,0.51854,0.00449,0.95488,0.92922,0.97389,0.64655,1.30895,0.4349,0.00372,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,3308.22,1.42035,0.49952,0.00448,0.94566,0.93741,0.97326,0.62875,1.31833,0.43069,0.00375,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,3380.21,1.42065,0.51589,0.00443,0.94315,0.94028,0.97652,0.64723,1.31564,0.42289,0.00375,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,3453.17,1.42008,0.49965,0.00445,0.95677,0.94597,0.97909,0.64232,1.3282,0.40131,0.00379,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,3525.85,1.43337,0.48798,0.00446,0.94447,0.9361,0.97178,0.64479,1.33009,0.40443,0.00378,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,3598.13,1.4104,0.48866,0.00437,0.95265,0.94234,0.97754,0.65261,1.3205,0.38809,0.00375,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,3671.07,1.40054,0.49229,0.00433,0.95235,0.94321,0.9787,0.65461,1.27985,0.40761,0.00363,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,3744.12,1.41834,0.49496,0.00438,0.9598,0.93501,0.97682,0.65107,1.31736,0.41285,0.00373,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,3816.45,1.39741,0.4891,0.00433,0.94828,0.95533,0.97969,0.6588,1.28126,0.40436,0.00363,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,3889.21,1.38647,0.50227,0.00428,0.94277,0.94789,0.97768,0.65633,1.28371,0.40726,0.00366,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,3962.15,1.38327,0.5078,0.00429,0.95092,0.93267,0.97868,0.65958,1.26285,0.42419,0.00357,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4035.95,1.36773,0.48861,0.00422,0.95078,0.93865,0.97738,0.65428,1.27407,0.42144,0.00359,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,4108.34,1.36628,0.48186,0.00415,0.95687,0.93208,0.97717,0.66289,1.27167,0.40763,0.0036,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,4181.07,1.38255,0.48428,0.00419,0.96404,0.94204,0.98253,0.66352,1.28844,0.39238,0.00362,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,4253.22,1.34833,0.48491,0.00414,0.96244,0.93794,0.98133,0.67012,1.26295,0.40243,0.00355,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,4326.82,1.34143,0.46657,0.00411,0.9553,0.93855,0.9788,0.66397,1.26953,0.40881,0.00357,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
