epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2334.87,1.5226,0.56682,0.00482,0.94418,0.9409,0.96978,0.62622,1.43471,0.41466,0.00433,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,2403.68,1.50331,0.55299,0.00479,0.94178,0.9233,0.96882,0.59346,1.52088,0.46199,0.00449,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,2473.07,1.49885,0.56637,0.00472,0.95649,0.9356,0.96923,0.62509,1.40882,0.41996,0.00405,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,2542.05,1.49285,0.56542,0.00473,0.9349,0.94906,0.97289,0.63357,1.36876,0.43193,0.00394,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,2611.57,1.47181,0.56299,0.0047,0.93892,0.93501,0.97042,0.64397,1.35671,0.41303,0.00391,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,2680.96,1.48705,0.54518,0.00474,0.95603,0.94028,0.97371,0.64322,1.36893,0.40785,0.00399,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,2750.71,1.48055,0.55854,0.00469,0.94021,0.94833,0.97219,0.6358,1.36952,0.43301,0.00396,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,2820.96,1.46392,0.56041,0.00465,0.95742,0.93476,0.97335,0.63927,1.34165,0.42062,0.00381,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,2890.35,1.46316,0.5398,0.0046,0.95418,0.93878,0.97293,0.64086,1.35715,0.40697,0.00398,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,2958.73,1.46498,0.55015,0.00455,0.94704,0.94224,0.97513,0.64923,1.31896,0.41853,0.00376,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
